,Location,hostname,interface,hostname.1,interface.1
36,MIAMI,MIA-T1A-MLNX-HPE02,GE_1/1/6,ATL-T1A-A56X-HRT02,GE_1/1/10
37,NEW YORK,NY-T1A-RT01,GIGABITETHERNET3/1/3,NY-T1A-CR03,GIGABITETHERNET3/2
38,SANTA CLARA,SC-T1A-SV1X-HCR01,TE_1/2/1,SC-T1A-S99X-HPE01,TE_10/1/14
39,PARIS,PAR-T1A-P96X-HCR01,TE_1/2/4,PAR-T1A-P96X-HCR02,TE_3/2/2
40,SANTA CLARA,SC-T1A-SV1X-HCR01,TE_1/2/3,CH-T1A-CT8X-HPE01,TE_1/1/14
41,NEW JERSEY,NJ-T1A-NJYX-HCR01,TE_1/1/13,DA-T1A-D0VX-HPE01,TE_1/1/14
42,NEW YORK,NY-T1A-RT02,GIGABITETHERNET1/11,NY-T1A-CR02,GIGABITETHERNET3/17
43,JAKARTA2,JK2-T1A-IJNX-RT01,POS1/1/2,SI-T1A-HCR01,STM1_5/2/2
44,FRANKFURT2,FFT2-T1A-FEQX-HRT01,GE_1/1/2,BUD-T1A-RT02,GIGABITETHERNET3/0/3
45,NEW YORK,NY-T1A-RT02,GIGABITETHERNET6/1,NY-T1A-CR03,GIGABITETHERNET3/17
46,PARIS,PAR-T1A-P96X-HCR01,TE_1/2/2,AM-T1A-HRT03,TE_1/2/2
47,DOHA2,DOH2-T1A-UN4X-HRT01,STM4_5/2/9,FUJ-T1A-HRT01,STM4_5/1/9
48,HONGKONG2,HK2-T1A-KTHX-HRT01,TE_5/1/14,HK2-T1A-KTHX-HRT02,TE_3/1/13
49,DUBLIN,DUB-T1A-EDUX-HRT02,GE_1/1/12,LN-T1A-L78X-HPE01,GE_5/1/12
50,FRANKFURT,FFT-T1A-FNMX-HCR02,GE_1/1/5,IST2-T1A-HRT01,GE_1/8/2
51,SINGAPORE2,SI2-T1A-SVQX-HCR02,GE_5/2/4,SI2-T1A-SVQX-HPE02,GE_3/1/13
52,HONGKONG2,HK2-T1A-KTHX-HRT01,GE_1/1/5,HK2-T1A-RT01,GIGABITETHERNET3/0/4
53,JOHANNESBURG2,JOB2-T1A-JHBX-HRT01,GE_5/1/11,DAR-T1A-HRT01,GE_1/8/5
54,HELSINKI,HEL1-T1A-HRT01,GE_2/1/4,HEL2-T1A-HRT01,GE_2/1/4
55,CHICAGO,CH-T1A-CT8X-HPE01,TE_1/1/13,CH-T1A-RT03,TENGIGABITETHERNET9/1
56,CHICAGO,CH-T1A-CT8X-HPE01,TE_4/1/1,CH-T1A-RT03,TENGIGABITETHERNET4/1
57,STOCKHOLM,STO-T1A-STKX-HRT02,GE_1/1/41,STO-T1A-RT04,GIGABITETHERNET0/0/0
58,NEW YORK,NY-T1A-CR03,GIGABITETHERNET3/18,NY-T1A-N99X-HPE02,GE_10/1/12
59,ATLANTA,ATL-T1A-RT02,GIGABITETHERNET3/0/0,ATL-T1A-RT01,GIGABITETHERNET3/0/0
60,TOKYO,TK-T1A-T0VX-HCR01,GE_5/1/5,TAI-T1A-RT01,GIGABITETHERNET3/0/4
61,BUDAPEST,BUD-T1A-RT01,GIGABITETHERNET2/1/4,BUD-T1A-RT02,GIGABITETHERNET2/1/1
62,CHICAGO,CH-T1A-CT8X-HPE01,STM4_3/1/13,CH-T1A-RT03,POS2/3/0
63,HANEDA,HAN-T1A-AHNDAX-ACN-RT02,GIGABITETHERNET0/0/0.119,TK2-T1A-RT01,GIGABITETHERNET0/0/4.119
64,HONGKONG,HK-T1A-H99X-HCR01,TE_1/1/14,MLA2-T1A-GX0X-HRT01,TE_1/1/14
65,HONGKONG,HK-T1A-H99X-HCR01,GE_1/1/3,HK-T1A-RT09-ASBR,GIGABITETHERNET0/1/1
66,SINGAPORE2,SI2-T1A-SVQX-HCR02,GE_1/1/3,SI2-T1A-RT02,GIGABITETHERNET4/1/2
67,CAPE TOWN,CAP-T1A-EAGX-HRT01,GE_1/1/2,CAP-T1A-EAGX-HRT02,GE_1/1/2
68,DALLAS,DA-T1A-RT01,GIGABITETHERNET2/1/3,DA-T1A-RT03,GIGABITETHERNET3/0/0
69,LONDON2,LN2-T1A-LDNX-HRT02,TE_1/1/13,LN-T1A-HCR01,TE_1/2/1
70,NEW JERSEY,NJ-T1A-NJYX-HCR01,TE_5/1/1,NJ-T1A-NJYX-HPE02,TE_9/1/13
71,DUBAI,DU-T1A-RT01,GIGABITETHERNET9/3/1,DU-T1A-RT03,GIGABITETHERNET9/3/1
72,LONDON,LN-T1A-L78X-HRV01,GE_1/1/1,LN-T1A-HCR01,GE_3/1/6
73,SINGAPORE2,SI2-T1A-SVQX-HCR01,GE_1/1/3,SI2-T1A-RT01,GIGABITETHERNET8/0/1
74,MUSCAT,MUS-T1A-OB6X-HRT01,STM1_1/10/1,FUJ-T1A-HRT01,STM1_5/1/7
75,PARIS,PAR-T1A-P96X-HCR01,GE_1/1/5,MIL-T1A-RT02,GIGABITETHERNET2/2/2
76,PARIS,PAR-T1A-P96X-HCR02,GE_1/1/2,PAR-T1A-RT03,GIGABITETHERNET7/0/0
77,MIAMI,MIA-T1A-RT01,GIGABITETHERNET3/1/4,MIA-T1A-RT05-ASBR,GIGABITETHERNET0/0/0
78,MOSCOW,MOS-T1A-RT01,GIGABITETHERNET3/0/0,MOS-T1A-RT02,GIGABITETHERNET3/0/0
79,HIGH BRIDGE,HBG-T1A-HB9X-HRT01,TE_5/1/14,CRX-T1A-HW1X-HRT02,TE_5/1/14
80,HIGH BRIDGE,HBG-T1A-HB9X-HRT01,STM4_3/1/10,PAR2-T1A-RT01,POS2/1/0
81,HONGKONG,HK-T1A-H99X-HCR01,TE_3/1/3,SEO3-T1A-OO8X-HRT01,TE_1/1/14
82,MOROCCO,MOR-T1A-52WX-HRT02,GE_2/1/25,PAR2-T1A-RT01,GIGABITETHERNET3/2/3
83,PARIS,PAR-T1A-P96X-HCR01,STM1_5/1/1,MA-T1A-WV6X-HRT01,STM1_3/1/1
84,FRANKFURT,FFT-T1A-FNMX-HCR02,TE_5/1/13,FFT-T1A-FNM-HCR01,TE_2/2/2
85,PARIS,PAR-T1A-P96X-HCR02,TE_3/1/2,PAR2-T1A-RT01,TENGIGABITETHERNET4/1
86,SANTA CLARA,SC-T1A-SV1X-HCR01,TE_1/1/14,SC-T1A-CR03,TENGIGABITETHERNET2/2
87,MADRID,MA-T1A-WV6X-HRT01,GE_1/1/9,MOR-T1A-52WX-HRT01,GE_2/1/25
88,OSAKA,OSA-T1A-RT01,GIGABITETHERNET3/0/0,OSA-T1A-RT02,GIGABITETHERNET2/0/0
89,KARACHI,KAR-T1A-RT01,POS0/3/1,FUJ-T1A-HRT01,STM1_4/1/15
90,SYDNEY,SY-T1A-M3HX-HRT01,GE_1/1/8,SY-T1A-RT01,GIGABITETHERNET4/1/3
91,NEW YORK,NY-T1A-CR03,TENGIGABITETHERNET1/1,NY-T1A-N99X-HPE02,TE_3/1/13
92,FRANKFURT,FFT-T1A-FNMX-HCR02,TE_1/2/4,MUN-T1A-MU1X-HRT01,TE_1/1/13
93,JOHANNESBURG2,JOB2-T1A-JHBX-HRT01,GE_5/1/6,JO-T1A-AJNBA-ACN-RT02,GIGABITETHERNET0/0/0
94,ZURICH,ZU-T1A-RT01,GIGABITETHERNET2/1/0,ZU-T1A-RT02,GIGABITETHERNET2/1/0
95,SYDNEY,SY-T1A-M3HX-HRT01,TE_3/2/2,SI-T1A-HCR01,TE_4/1/3
96,SANTA CLARA,SC-T1A-SV1X-HCR01,TE_5/1/1,SC-T1A-S99X-HPE02,TE_10/1/14
97,WARSAW,WA-T1A-WZNX-HRT01,TE_1/1/13,WA-T1A-WZNX-HRT02,TE_1/1/13
98,PARIS,PAR-T1A-P96X-HCR01,TE_2/2/2,PAR-T1A-P96X-HCR02,TE_1/1/14
99,NEW YORK,NY-T1A-RT05,GIGABITETHERNET8/2/3,NY-T1A-CR03,GIGABITETHERNET3/6
100,NEW YORK,NY-T1A-N99X-HCR01,GE_5/1/12,TOR2-T1A-TTTX-HRT01,GE_5/1/2
101,MILAN,MIL-T1A-ITMX-HRT01,GE_1/1/2,MIL-T1A-RT02,GIGABITETHERNET3/0/3
102,HONGKONG,HK-T1A-H99X-HCR01,TE_3/1/1,HK-T1A-H99X-HPE02,TE_1/1/13
103,SEOUL2,SEO2-T1A-OO7X-HRT01,TE_5/1/13,TK-T1A-T0VX-HCR01,TE_2/2/4
104,FRANKFURT,FFT-T1A-FNMX-HCR02,GE_5/1/5,FFT-T1A-RT07-ASBR,GIGABITETHERNET1/0/2
105,BRAZIL,BRZ-T1A-XXHX-HRT01,GE_5/1/3.105,MIA-T1A-RT01,GIGABITETHERNET2/1/2.105
106,SINGAPORE,SI-T1A-HCR01,GE_3/1/2,SI-T1A-RT01,GIGABITETHERNET3/0/2
107,CAPE TOWN,CAP-T1A-ACPTA-ACN-RT01,GIGABITETHERNET0/1/0,CAP-T1A-ACPTA-ACN-RT02,GIGABITETHERNET0/1/0
108,CAPE TOWN,CAP-T1A-EAGX-HRT01,GE_1/1/1,JOB-T1A-EOPX-HRT01,GE_5/1/1
109,LONDON,LN-T1A-HCR01,GE_3/1/2,LN-T1A-RT04-PE,GIGABITETHERNET7/0/2
110,MILAN,MIL-T1A-ITMX-HRT01,GE_1/1/1,MIL-T1A-RT02,GIGABITETHERNET3/0/4
111,MILAN,MIL-T1A-ITMX-HRT01,TE_5/1/13,FFT-T1A-FNM-HCR01,TE_2/2/3
112,LONDON,LN-T1A-L78X-HCR02,TE_5/1/14,LN-T1A-L78X-HPE02,TE_10/1/14
113,LOS ANGELES,LA-T1A-27GX-HCR01,GE_1/1/1,LA-T1A-RT02,GIGABITETHERNET3/2/0
114,DALLAS,DA-T1A-D0VX-HPE01,TE_5/1/14,DA-T1A-RT03,TENGIGABITETHERNET7/2
115,MIAMI,MIA-T1A-RT01,GIGABITETHERNET3/1/3,MIA-T1A-RT05-ASBR,GIGABITETHERNET0/0/1
116,SINGAPORE,SI-T1A-SVWX-HCR02,GE_1/1/11,SI-T1A-SVWX-RT07-ASBR,GIGABITETHERNET0/1
117,CAPE TOWN,CAP-T1A-EAGX-HRT01,GE_5/1/6,CAP-T1A-ACPTA-ACN-RT01,GIGABITETHERNET0/0/0
118,SINGAPORE,TCX-T1A-IH4X-HRT02,GE_1/1/25,TCX-T1A-IH4X-HRT01,GE_1/1/25
119,NEW YORK,NY-T1A-N99X-HCR01,GE_5/1/11,TOR2-T1A-TTTX-HRT01,GE_5/1/4
120,LONDON,LN-T1A-L78X-HCR02,GE_5/1/7,LN-T1A-L78X-HRV01,GE_5/1/1
121,JOHANNESBURG,JO-T1A-RT01,GIGABITETHERNET7/0/1,HAR-T1A-HRT01,GE_1/7/2
122,LONDON,LN-T1A-L78X-HCR02,GE_1/1/6,DUB-T1A-RT01,GIGABITETHERNET3/0/3
123,SINGAPORE2,SI2-T1A-SVQX-HCR01,TE_2/2/3,SI-T1A-HCR01,TE_2/2/3
124,VIETNAM,VI-T1A-ASGNA-ACN-RT01,GIGABITETHERNET0/0/1,VI-T1A-ASGNA-ACN-RT02,GIGABITETHERNET0/0/1
125,MADRID,MA-T1A-WV6X-HRT01,GE_5/1/12,MA-T1A-RT01,GIGABITETHERNET4/2/2
126,SYDNEY,SY-T1A-M3HX-HRT01,GE_5/1/12,PER-T1A-H9UX-HRT01,GE_1/1/9
127,SEATTLE2,SEA2-T1A-EMSX-HRT01,TE_5/1/13,CH-T1A-CT8X-HPE01,TE_2/1/1
128,COLOMBO,EK-COL-T3-RT04,GIGABITETHERNET1/0/3,SI-T1A-SVWX-HPE02,GE_2/2/3
129,ASHBURN,ASH-T1A-AE6X-RT04,GIGABITETHERNET1/0/0,ASH-T1A-AE6X-HRT01,GE_3/2/2
130,SINGAPORE,SI-T1A-SVWX-HCR02,TE_2/1/3.101,HK-T1A-H99X-HCR01,TE_4/1/4.101
131,SINGAPORE2,SI2-T1A-SVQX-HCR02,GE_1/1/2,SI2-T1A-RT02,GIGABITETHERNET4/1/4
132,BUDAPEST,BUD-T1A-RT01,GIGABITETHERNET2/1/0,FFT-T1A-FNM-HCR01,GE_3/1/10
133,FRANKFURT,FFT-T1A-FNM-HCR01,GE_3/1/8,IST2-T1A-HRT01,GE_1/8/3
134,LONDON,LN-T1A-L78X-HCR02,GE_5/1/8,LSB-T1A-PV9X-HRT01,GE_1/5/1
135,LOS ANGELES,LA-T1A-CR01,GIGABITETHERNET3/15,LA-T1A-CR02,GIGABITETHERNET3/15
136,LONDON2,LN2-T1A-LDNX-HRT02,GE_5/1/1,BRU-T1A-RT01,GIGABITETHERNET7/1/0
137,NEW JERSEY,NJ-T1A-NJYX-HCR01,TE_1/2/3,NJ-T1A-NJYX-CR02,TENGIGABITETHERNET2/2
138,AMSTERDAM,AM-T1A-A99X-HRT01,GE_5/1/3,AM-T1A-RT01,GIGABITETHERNET4/1/0
139,HONGKONG,HK-T1A-H99X-HCR01,TE_4/1/2,HK2-T1A-KTHX-HRT02,TE_1/1/14
140,SINGAPORE,SI-T1A-SVWX-HCR02,TE_1/1/14,SI-T1A-SVWX-HPE02,TE_1/1/14
141,FRANKFURT,FFT-T1A-FNMX-HCR02,TE_1/1/13,FFT-T1A-FNM-HCR01,TE_4/1/4
142,ISTANBUL,IST-T1A-RT01,GIGABITETHERNET2/0/1,IST2-T1A-HRT01,GE_1/8/4
143,SEATTLE,SEA-T1A-00SX-HPE01,TE_3/1/13,SC-T1A-CR03,TENGIGABITETHERNET4/1
144,MOROCCO,MOR-T1A-52WX-HRT01,GE_1/1/23,MOR-T1A-52WX-HRT02,GE_1/1/23
145,TOKYO,TK-T1A-T0VX-HCR02,GE_1/1/6,SY-T1A-1MHX-HRT02,GE_3/1/12:3001
146,LONDON,LN-T1A-L78X-HCR02,TE_3/1/4,AM-T1A-A99X-HRT01,TE_3/1/1
147,PARIS2,PAR2-T1A-PVUX-HRT02,GE_1/1/1,PAR2-T1A-RT01,GIGABITETHERNET3/1/4
148,TOKYO,TK-T1A-T0VX-HCR02,GE_1/1/9,HAN-T1A-AHNDAX-ACN-RT01,GIGABITETHERNET0/0/0
149,SANTA CLARA,SC-T1A-SV1X-HCR01,TE_5/1/4,SC-T1A-CR03,TENGIGABITETHERNET4/2
150,MOSCOW,MOS-T1A-RT01,GIGABITETHERNET3/1/0,MOS-T1A-RT02,GIGABITETHERNET3/1/0
151,TORONTO,TOR-T1A-T6UX-HRT01,TE_1/1/14,CH-T1A-CT8X-HPE01,TE_4/1/2
152,HONGKONG,HK-T1A-H99X-HCR01,TE_5/1/14,HK-T1A-CR02,TENGIGABITETHERNET2/2
153,TOKYO,TK-T1A-T0VX-HRV01,GE_1/1/1,TK-T1A-T0VX-HCR01,GE_1/1/4
154,MANILA,MLA-T1A-AMNLA-ACN-RT01,GIGABITETHERNET0/1/0,MLA-T1A-AMNLA-ACN-RT02,GIGABITETHERNET0/1/0
155,PARIS,PAR-T1A-P96X-HCR02,TE_3/2/1,AM-T1A-HRT03,TE_2/1/13
156,DALLAS,DA-T1A-D0VX-HPE01,TE_5/1/13,ATL-T1A-RT02,TENGIGABITETHERNET4/2
157,SYDNEY,SY-T1A-M3HX-HRT01,GE_1/1/9,SY-T1A-RT03,GIGABITETHERNET4/1/4
158,JOHANNESBURG,JOB-T1A-EOPX-HRT01,GE_5/1/6,JO-T1A-AJNBA-ACN-RT01,GIGABITETHERNET0/0/0
159,FRANKFURT3,FFT3-T1A-FR1X-HRT01,TE_1/1/13,FFT-T1A-FNM-HCR01,TE_2/2/1
160,HONGKONG,HK-T1A-CR02,GIGABITETHERNET7/0/0,HK-T1A-RT09-ASBR,GIGABITETHERNET1/0/1
161,SINGAPORE2,SI2-T1A-SVQX-HCR01,GE_1/1/10,SI-T1A-ASINX-ACN-RT01,GIGABITETHERNET0/0/0
162,WARSAW,WA-T1A-WZNX-HRT02,GE_1/1/11,FFT2-T1A-FEQ-RT02,GIGABITETHERNET2/1/3
163,NEW JERSEY,NJ-T1A-NJYX-HCR01,GE_1/1/4,BOS-T1A-RT01,GIGABITETHERNET1/0/4
164,SANTA CLARA,SC-T1A-S99X-HPE02,TE_1/1/13,SC-T1A-S99X-HPE01,TE_1/1/13
165,TAIPEI,TAI-T1A-TJ5X-HRT02,GE_3/1/1,TAI-T1A-RT01,GIGABITETHERNET7/1/0
166,LONDON,LN-T1A-L78X-HCR02,GE_1/1/12,LN-T1A-RT08-ASBR,GIGABITETHERNET0/1
167,NEW YORK,NY-T1A-N99X-HRV01,GE_5/1/1,NY-T1A-CR03,GIGABITETHERNET3/20
168,JAKARTA,JK-T1A-ACGKA-ACN-RT01,GIGABITETHERNET0/0/0,JK-T1A-RT01,GIGABITETHERNET0/0/2
169,HANEDA,HAN-T1A-AHNDAX-ACN-RT02,GIGABITETHERNET0/0/1,HAN-T1A-AHNDAX-ACN-RT01,GIGABITETHERNET0/0/1
170,SINGAPORE,SI-T1A-HCR01,GE_2/1/4,VI-T1A-RT01,GIGABITETHERNET0/0/2
171,MIAMI,MIA-T1A-MLNX-HPE02,STM16_2/2/1,NY-T1A-CR03,POS8/0/0
172,HONGKONG,HK-T1A-H99X-HPE02,GE_1/1/7,HK-T1A-RT08-PE,GIGABITETHERNET4/6
173,JAKARTA2,JK2-T1A-IJNX-RT01,GIGABITETHERNET0/0/4,BAL-T1A-EAHX-ACN-RT02,GIGABITETHERNET0/0/0
174,WARSAW,WA-T1A-WZNX-HPE02,GE_1/9/1,WA-T1A-WZNX-HPE01,GE_1/9/1
175,PARIS,PAR-T1A-P96X-HCR02,GE_1/1/7,BRU-T1A-RT01,GIGABITETHERNET2/0/0
176,DUBLIN,DUB-T1A-RT01,GIGABITETHERNET3/0/0,DUB-T1A-RT02,GIGABITETHERNET3/0/0
177,DUBLIN,DUB-T1A-EDUX-HRT01,GE_1/1/12,LN-T1A-L78X-HPE01,GE_5/1/11
178,SINGAPORE,SI-T1A-HCR01,GE_3/1/1,SI-T1A-RT01,GIGABITETHERNET4/0/2
179,MUNICH,MUN-T1A-MU1X-HRT01,TE_5/1/13,FFT2-T1A-FEQ-RT02,TENGIGABITETHERNET4/1
180,SINGAPORE,SI-T1A-SVWX-HPE02,GE_10/1/13,SI-T1A-SVWX-HPE01,GE_10/1/13
