Location,hostname,hostIP,interface,InterfaceIP,,Location,hostname,hostIP,interface,InterfaceIP,,Region,
LONDON, ln-t1a-l78x-hcr02, 192.168.194.138, GE_1/1/6, 172.31.59.69,5000, DUBLIN, dub-t1a-rt01, 192.168.246.80, GigabitEthernet3/0/3, 172.31.59.70,5000,  europe,8
SINGAPORE2, si2-t1a-svqx-hcr01, 192.168.194.47, TE_2/2/3, 172.31.238.222,400, SINGAPORE, si-t1a-hcr01, 192.168.250.14, TE_2/2/3, 172.31.238.221,400,  apac,0.66
VIETNAM, vi-t1a-asgna-acn-rt01, 192.168.201.111, GigabitEthernet0/0/1, 172.31.82.181,65535, VIETNAM, vi-t1a-asgna-acn-rt02, 192.168.201.112, GigabitEthernet0/0/1, 172.31.82.182,65535,  apac,  
MADRID, ma-t1a-wv6x-hrt01, 192.168.194.22, GE_5/1/12, 172.23.102.45,100, MADRID, ma-t1a-rt01, 192.168.246.33, GigabitEthernet4/2/2, 172.23.102.46,100,  europe,  
SYDNEY, sy-t1a-m3hx-hrt01, 192.168.194.43, GE_5/1/12, 172.28.138.126,12000, PERTH, per-t1a-h9ux-hrt01, 192.168.194.57, GE_1/1/9, 172.28.138.125,12000,  apac,46.5
Seattle2, sea2-t1a-emsx-hrt01, 192.168.194.194, TE_5/1/13, 172.31.197.93,65535, CHICAGO, ch-t1a-ct8x-hpe01, 192.168.200.17, TE_2/1/1, 172.31.197.94,65535,  americas,52.7
COLOMBO, ek-col-t3-rt04, 192.168.241.160, GigabitEthernet1/0/3, 172.28.129.174,8500, SINGAPORE, si-t1a-svwx-hpe02, 192.168.250.15, GE_2/2/3, 172.28.129.173,8500,  apac,  
ASHBURN, ash-t1a-ae6x-rt04, 192.168.201.188, GigabitEthernet1/0/0, 172.28.146.249,15, ASHBURN, ash-t1a-ae6x-hrt01, 92.168.194.135, GE_3/2/2, 172.28.146.250,15,  americas,  
SINGAPORE, si-t1a-svwx-hcr02, 192.168.194.131, TE_2/1/3.101, 172.28.138.133,5500, HONGKONG, hk-t1a-h99x-hcr01, 192.168.194.49, TE_4/1/4.101, 172.28.138.134,5500,  apac,37.6
SINGAPORE2, si2-t1a-svqx-hcr02, 192.168.194.48, GE_1/1/2, 172.31.39.246,15, SINGAPORE2, si2-t1a-rt02, 192.168.250.11, GigabitEthernet4/1/4, 172.31.39.245,15,  apac,  
BUDAPEST, bud-t1a-rt01, 192.168.246.88, GigabitEthernet2/1/0, 172.23.182.254,3900, FRANKFURT, fft-t1a-fnm-hcr01, 192.168.247.12, GE_3/1/10, 172.23.182.253,3900,  europe,14.7
FRANKFURT, fft-t1a-fnm-hcr01, 192.168.247.12, GE_3/1/8, 172.31.207.218,15500, ISTANBUL2, ist2-t1a-hrt01, 192.168.247.13, GE_1/8/3, 172.31.207.217,15500,  europe,38.8
LONDON, ln-t1a-l78x-hcr02, 192.168.194.138, GE_5/1/8, 172.31.84.81,50000, LISBON, lsb-t1a-pv9x-hrt01, 192.168.201.113, GE_1/5/1, 172.31.84.82,50000,  europe,31
LOS ANGELES, la-t1a-cr01, 192.168.248.28, GigabitEthernet3/15, 172.20.249.253,20, LOS ANGELES, la-t1a-cr02, 192.168.248.30, GigabitEthernet3/15, 172.20.249.254,20,  americas,  
LONDON2, ln2-t1a-ldnx-hrt02, 192.168.201.127, GE_5/1/1, 172.23.182.86,5000, BRUSSELS, bru-t1a-rt01, 192.168.246.44, GigabitEthernet7/1/0, 172.23.182.85,5000,  europe,4
NEW JERSEY, nj-t1a-njyx-hcr01, 192.168.194.212, TE_1/2/3, 172.31.24.245,10, NEW JERSEY, nj-t1a-njyx-cr02, 192.168.194.4, TenGigabitEthernet2/2, 172.31.24.246,10,  americas,  
AMSTERDAM, am-t1a-a99x-hrt01, 192.168.194.28, GE_5/1/3, 172.31.247.57,15, AMSTERDAM, am-t1a-rt01, 192.168.246.97, GigabitEthernet4/1/0, 172.31.247.58,15,  europe,  
HONGKONG, hk-t1a-h99x-hcr01, 192.168.194.49, TE_4/1/2, 172.28.129.25,600, HONGKONG2, hk2-t1a-kthx-hrt02, 192.168.201.73, TE_1/1/14, 172.28.129.26,600,  apac,0.59
SINGAPORE, si-t1a-svwx-hcr02, 192.168.194.131, TE_1/1/14, 172.31.239.73,15, SINGAPORE, si-t1a-svwx-hpe02, 192.168.250.15, TE_1/1/14, 172.31.239.74,15,  apac,  
FRANKFURT, fft-t1a-fnmx-hcr02, 192.168.194.139, TE_1/1/13, 172.31.247.133,10, FRANKFURT, fft-t1a-fnm-hcr01, 192.168.247.12, TE_4/1/4, 172.31.247.134,10,  europe,  
ISTANBUL, ist-t1a-rt01, 192.168.246.112, GigabitEthernet2/0/1, 172.26.11.2,16000, ISTANBUL2, ist2-t1a-hrt01, 192.168.247.13, GE_1/8/4, 172.26.11.1,16000,  europe,0.87
SEATTLE, sea-t1a-00sx-hpe01, 192.168.250.193, TE_3/1/13, 172.29.215.138,61500, SANTA CLARA, sc-t1a-cr03, 192.168.251.10, TenGigabitEthernet4/1, 172.29.215.137,61500,  americas,16
MOROCCO, mor-t1a-52wx-hrt01, 192.168.201.61, GE_1/1/23, 172.31.185.237,10, MOROCCO, mor-t1a-52wx-hrt02, 192.168.201.74, GE_1/1/23, 172.31.185.238,10,  europe,  
TOKYO, tk-t1a-t0vx-hcr02, 192.168.201.191, GE_1/1/6, 172.31.17.125,65535, SYDNEY, sy-t1a-1mhx-hrt02, 192.168.201.54, GE_3/1/12:3001, 172.31.17.126,65535,  apac,102
LONDON, ln-t1a-l78x-hcr02, 192.168.194.138, TE_3/1/4, 172.31.84.249,500, AMSTERDAM, am-t1a-a99x-hrt01, 192.168.194.28, TE_3/1/1, 172.31.84.250,500,  europe,5.4
PARIS2, par2-t1a-pvux-hrt02, 192.168.194.239, GE_1/1/1, 172.26.10.101,10, PARIS2, par2-t1a-rt01, 192.168.246.67, GigabitEthernet3/1/4, 172.26.10.102,10,  europe,  
TOKYO, tk-t1a-t0vx-hcr02, 192.168.201.191, GE_1/1/9, 172.31.163.109,65535, Haneda, han-t1a-ahndax-acn-rt01, 192.168.201.72, GigabitEthernet0/0/0, 172.31.163.110,65535,  apac,1
SANTA CLARA, sc-t1a-sv1x-hcr01, 192.168.194.203, TE_5/1/4, 172.31.36.225,10, SANTA CLARA, sc-t1a-cr03, 192.168.251.10, TenGigabitEthernet4/2, 172.31.36.226,10,  americas,  
MOSCOW, mos-t1a-rt01, 192.168.246.72, GigabitEthernet3/1/0, 172.31.102.21,10, MOSCOW, mos-t1a-rt02, 192.168.246.73, GigabitEthernet3/1/0, 172.31.102.22,10,  europe,  
TORONTO, tor-t1a-t6ux-hrt01, 192.168.194.144, TE_1/1/14, 172.20.248.242,19000, CHICAGO, ch-t1a-ct8x-hpe01, 192.168.200.17, TE_4/1/2, 172.20.248.241,19000,  americas,13.8
HONGKONG, hk-t1a-h99x-hcr01, 192.168.194.49, TE_5/1/14, 172.31.253.193,10, HONGKONG, hk-t1a-cr02, 192.168.253.7, TenGigabitEthernet2/2, 172.31.253.194,10,  apac,  
TOKYO, tk-t1a-t0vx-hrv01, 192.168.194.202, GE_1/1/1, 172.31.206.225,65535, TOKYO, tk-t1a-t0vx-hcr01, 192.168.253.174, GE_1/1/4, 172.31.206.226,65535,  apac,  
MANILA, mla-t1a-amnla-acn-rt01, 192.168.194.247, GigabitEthernet0/1/0, 172.31.163.241,65535, MANILA, mla-t1a-amnla-acn-rt02, 192.168.201.79, GigabitEthernet0/1/0, 172.31.163.242,65535,  apac,  
PARIS, par-t1a-p96x-hcr02, 192.168.201.120, TE_3/2/1, 172.31.26.129,1350, AMSTERDAM, am-t1a-hrt03, 192.168.246.100, TE_2/1/13, 172.31.26.130,1350,  europe,9.98
DALLAS, da-t1a-d0vx-hpe01, 192.168.247.23, TE_5/1/13, 172.31.197.109,1200, ATLANTA, atl-t1a-rt02, 192.168.248.19, TenGigabitEthernet4/2, 172.31.197.110,1200,  americas,16
SYDNEY, sy-t1a-m3hx-hrt01, 192.168.194.43, GE_1/1/9, 172.31.248.45,10, SYDNEY, sy-t1a-rt03, 192.168.252.3, GigabitEthernet4/1/4, 172.31.248.46,10,  apac,  
Johannesburg, job-t1a-eopx-hrt01, 192.168.194.182, GE_5/1/6, 172.31.84.149,65535, JOHANNESBURG, jo-t1a-ajnba-acn-rt01, 192.168.201.82, GigabitEthernet0/0/0, 172.31.84.150,65535,  africa,2
FRANKFURT3, fft3-t1a-fr1x-hrt01, 192.168.194.172, TE_1/1/13, 172.31.237.145,500, FRANKFURT, fft-t1a-fnm-hcr01, 192.168.247.12, TE_2/2/1, 172.31.237.146,500,  europe,0.6
HONGKONG, hk-t1a-cr02, 192.168.253.7, GigabitEthernet7/0/0, 172.31.25.205,15, HONGKONG, hk-t1a-rt09-ASBR, 192.168.253.8, GigabitEthernet1/0/1, 172.31.25.206,15,  apac,  
SINGAPORE2, si2-t1a-svqx-hcr01, 192.168.194.47, GE_1/1/10, 172.31.82.89,65535, SINGAPORE, si-t1a-asinx-acn-rt01, 192.168.201.67, GigabitEthernet0/0/0, 172.31.82.90,65535,  apac,1
WARSAW, wa-t1a-wznx-hrt02, 192.168.201.179, GE_1/1/11, 172.31.246.137,4000, FRANKFURT2, fft2-t1a-feq-rt02, 192.168.247.9, GigabitEthernet2/1/3, 172.31.246.138,4000,  europe,12
NEW JERSEY, nj-t1a-njyx-hcr01, 192.168.194.212, GE_1/1/4, 172.31.202.81,60000, BOSTON, bos-t1a-rt01, 192.168.248.38, GigabitEthernet1/0/4, 172.31.202.82,60000,  americas,7
SANTA CLARA, sc-t1a-s99x-hpe02, 192.168.251.11, TE_1/1/13, 172.23.250.134,10, SANTA CLARA, sc-t1a-s99x-hpe01, 192.168.251.17, TE_1/1/13, 172.23.250.133,10,  americas,  
TAIPEI, tai-t1a-tj5x-hrt02, 192.168.201.56, GE_3/1/1, 172.31.163.5,10, TAIPEI, tai-t1a-rt01, 192.168.253.56, GigabitEthernet7/1/0, 172.31.163.6,10,  apac,  
LONDON, ln-t1a-l78x-hcr02, 192.168.194.138, GE_1/1/12, 172.31.39.25,100, LONDON, ln-t1a-rt08-ASBR, 192.168.246.29, GigabitEthernet0/1, 172.31.39.26,100,  europe,  
NEW YORK, ny-t1a-n99x-hrv01, 192.168.194.204, GE_5/1/1, 172.31.197.197,65535, NEW YORK, ny-t1a-cr03, 192.168.248.75, GigabitEthernet3/20, 172.31.197.198,65535,  americas,  
JAKARTA, jk-t1a-acgka-acn-rt01, 192.168.201.69, GigabitEthernet0/0/0, 172.31.163.98,65535, JAKARTA, jk-t1a-rt01, 192.168.253.73, GigabitEthernet0/0/2, 172.31.163.97,65535,  apac,  
Haneda, han-t1a-ahndax-acn-rt02, 192.168.201.71, GigabitEthernet0/0/1, 172.31.163.102,10, Haneda, han-t1a-ahndax-acn-rt01, 192.168.201.72, GigabitEthernet0/0/1, 172.31.163.101,10,  apac,  
SINGAPORE, si-t1a-hcr01, 192.168.250.14, GE_2/1/4, 172.31.248.18,4600, VIETNAM, vi-t1a-rt01, 192.168.251.108, GigabitEthernet0/0/2, 172.31.248.17,4600,  apac,32
MIAMI, mia-t1a-mlnx-hpe02, 192.168.194.148, STM16_2/2/1, 172.31.14.18,1800, NEW YORK, ny-t1a-cr03, 192.168.248.75, POS8/0/0, 172.31.14.17,1800,  americas,28
HONGKONG, hk-t1a-h99x-hpe02, 192.168.201.121, GE_1/1/7, 172.31.83.97,15, HONGKONG, hk-t1a-rt08-PE, 192.168.253.16, GigabitEthernet4/6, 172.31.83.98,15,  apac,  
JAKARTA2, jk2-t1a-IJNX-rt01, 192.168.194.162, GigabitEthernet0/0/4, 172.31.207.205,65535, Bali, bal-t1a-eahx-acn-rt02, 192.168.194.216, GigabitEthernet0/0/0, 172.31.207.206,65535,  apac,18
WARSAW, wa-t1a-wznx-hpe02, 192.168.246.48, GE_1/9/1, 172.23.182.94,10, WARSAW, wa-t1a-wznx-hpe01, 192.168.246.49, GE_1/9/1, 172.23.182.93,10,  europe,  
PARIS, par-t1a-p96x-hcr02, 192.168.201.120, GE_1/1/7, 172.29.213.225,4900, BRUSSELS, bru-t1a-rt01, 192.168.246.44, GigabitEthernet2/0/0, 172.29.213.226,4900,  europe,4
DUBLIN, dub-t1a-rt01, 192.168.246.80, GigabitEthernet3/0/0, 172.31.102.49,10, DUBLIN, dub-t1a-rt02, 192.168.246.81, GigabitEthernet3/0/0, 172.31.102.50,10,  europe,  
DUBLIN, dub-t1a-edux-hrt01, 192.168.201.199, GE_1/1/12, 172.28.141.209,65535, LONDON, ln-t1a-l78x-hpe01, 192.168.246.170, GE_5/1/11, 172.28.141.210,65535,  europe,0.34
SINGAPORE, si-t1a-hcr01, 192.168.250.14, GE_3/1/1, 172.31.124.9,10, SINGAPORE, si-t1a-rt01, 192.168.250.2, GigabitEthernet4/0/2, 172.31.124.10,10,  apac,  
MUNICH, mun-t1a-mu1x-hrt01, 192.168.194.169, TE_5/1/13, 172.31.237.105,700, FRANKFURT2, fft2-t1a-feq-rt02, 192.168.247.9, TenGigabitEthernet4/1, 172.31.237.106,700,  europe,4
SINGAPORE, si-t1a-svwx-hpe02, 192.168.250.15, GE_10/1/13, 172.31.239.78,15, SINGAPORE, si-t1a-svwx-hpe01, 192.168.250.16, GE_10/1/13, 172.31.239.77,15,  apac,  
AMSTERDAM, am-t1a-hrt03, 192.168.246.100, GE_1/1/3, 172.31.247.54,15, AMSTERDAM, am-t1a-rt01, 192.168.246.97, GigabitEthernet2/3/1, 172.31.247.53,15,  europe,  
PARIS, par-t1a-p96x-hcr01, 192.168.194.137, GE_5/2/3, 172.31.37.82,4000, GENEVA, gen-t1a-gvsx-hrt01, 192.168.194.161, GE_5/1/2, 172.31.37.81,4000,  europe,11.7
AMSTERDAM, am-t1a-a99x-hrt01, 192.168.194.28, TE_1/1/14, 172.23.102.109,15, AMSTERDAM, am-t1a-hrt03, 192.168.246.100, TE_3/2/1, 172.23.102.110,15,  europe,  
LONDON2, ln2-t1a-ldnx-hrt02, 192.168.201.127, TE_1/2/3, 172.28.131.229,15, LONDON, ln-t1a-rt11-PE, 192.168.246.4, TenGigabitEthernet7/2, 172.28.131.230,15,  europe,1
HONGKONG2, hk2-t1a-kthx-hrt02, 192.168.201.73, GE_1/1/5, 172.28.139.29,10, HONGKONG2, hk2-t1a-rt01, 192.168.253.12, GigabitEthernet4/1/0, 172.28.139.30,10,  apac,  
JAKARTA, jk-t1a-acgka-acn-rt01, 192.168.201.69, GigabitEthernet0/0/1, 172.31.205.233,10, JAKARTA, jk-t1a-acgka-acn-rt02, 192.168.201.70, GigabitEthernet0/0/1, 172.31.205.234,10,  apac,  
FRANKFURT2, fft2-t1a-feqx-hrt01, 192.168.194.195, TE_1/1/13, 172.31.207.169,10, FRANKFURT2, fft2-t1a-feq-rt02, 192.168.247.9, TenGigabitEthernet4/2, 172.31.207.170,10,  europe,  
PARIS, par-t1a-p96x-hcr01, 192.168.194.137, GE_1/1/4, 172.31.37.129,2100, PARIS2, par2-t1a-rt01, 192.168.246.67, GigabitEthernet3/0/3, 172.31.37.130,2100,  europe,1
LOS ANGELES, la-t1a-27gx-hpe01, 192.168.194.150, GE_5/1/2, 172.31.236.165,50, LOS ANGELES, la-t1a-cr02, 192.168.248.30, GigabitEthernet3/12, 172.31.236.166,50,  americas,  
NEW YORK, ny-t1a-rt05, 192.168.248.6, GigabitEthernet3/1/1, 172.31.36.165,15, NEW YORK, ny-t1a-cr02, 192.168.248.74, GigabitEthernet3/4, 172.31.36.166,15,  americas,  
ASHBURN, ash-t1a-ae6x-hrt03, 192.168.201.187, TE_1/1/14, 172.28.146.206,10, ASHBURN, ash-t1a-ae6x-hrt01, 92.168.194.135, TE_1/1/13, 172.28.146.205,10,  americas,  
NEW JERSEY, nj-t1a-njyx-cr02, 192.168.194.4, TenGigabitEthernet8/2, 172.20.248.177,15, NEW JERSEY, nj-t1a-njyx-hpe01, 192.168.248.40, TE_9/1/2, 172.20.248.178,15,  americas,  
AMSTERDAM, am-t1a-hrt03, 192.168.246.100, TE_1/2/1, 172.31.84.254,1000, FRANKFURT, fft-t1a-fnm-hcr01, 192.168.247.12, TE_1/1/1, 172.31.84.253,1000,  europe,6.09
SINGAPORE2, si2-t1a-svqx-hcr01, 192.168.194.47, TE_5/2/2, 172.31.163.1,4410, TOKYO3, emi-t1a-cr01, 192.168.253.171, TenGigabitEthernet4/2, 172.31.163.2,4410,  apac,72
LOS ANGELES, la-t1a-27gx-hpe01, 192.168.194.150, TE_5/1/13, 172.20.248.245,15, LOS ANGELES, la-t1a-cr02, 192.168.248.30, TenGigabitEthernet2/2, 172.20.248.246,15,  americas,  
KUALALAMPUR, kl-t1a-kvdx-rt03, 192.168.201.138, GigabitEthernet0/0/0, 172.31.83.245,65535, KUALALAMPUR, kl-t1a-kvdx-hrt01, 192.168.201.139, GE_1/1/9, 172.31.83.246,65535,  apac,  
TOKYO, tk-t1a-t0vx-hpe01, 192.168.253.173, TE_1/1/14, 172.31.30.233,15, TOKYO, tk-t1a-t0vx-hcr01, 192.168.253.174, TE_2/2/3, 172.31.30.234,15,  apac,  
PARIS, par-t1a-p96x-hcr01, 192.168.194.137, GE_5/2/2, 172.31.247.90,15, PARIS, par-t1a-rt03, 192.168.246.69, GigabitEthernet3/0/3, 172.31.247.89,15,  europe,  
SYDNEY, sy-t1a-rt01, 192.168.252.1, GigabitEthernet4/0/1, 172.31.103.53,11, SYDNEY, sy-t1a-rt03, 192.168.252.3, GigabitEthernet3/0/1, 172.31.103.54,11,  apac,  
TOKYO, tk-t1a-t0vx-hcr01, 192.168.253.174, TE_2/1/4.105, 172.28.138.166,5800, HONGKONG, hk-t1a-cr02, 192.168.253.7, TenGigabitEthernet9/2.105, 172.28.138.165,5800,  apac,52
SEOUL, seo-t1a-aicna-acn-rt01, 192.168.201.12, GigabitEthernet0/0/1, 172.31.205.29,65535, SEOUL, seo-t1a-aicna-acn-rt02, 192.168.201.13, GigabitEthernet0/0/1, 172.31.205.30,65535,  apac,  
FRANKFURT, fft-t1a-fnmx-hcr02, 192.168.194.139, TE_1/2/1, 172.31.247.137,15, FRANKFURT, fft-t1a-fnm-hpe01, 192.168.254.39, TE_5/1/14, 172.31.247.138,15,  europe,  
DUBLIN, dub-t1a-rt01, 192.168.246.80, GigabitEthernet3/0/1, 172.31.102.53,10, DUBLIN, dub-t1a-rt02, 192.168.246.81, GigabitEthernet3/0/1, 172.31.102.54,10,  europe,  
MANCHESTER, man-t1a-ukux-hrt01, 192.168.194.186, GE_5/1/2, 172.31.207.121,25000, LONDON, ln-t1a-hcr01, 192.168.246.13, GE_2/1/8, 172.31.207.122,25000,  europe,8.27
LONDON2, ln2-t1a-ldnx-hrt01, 192.168.246.186, TE_5/1/13, 172.31.143.45,10, LONDON, ln-t1a-rt11-PE, 192.168.246.4, TenGigabitEthernet7/1, 172.31.143.46,10,  europe,1
SINGAPORE2, si2-t1a-svqx-hcr01, 192.168.194.47, TE_1/1/13, 172.31.253.129,10, SINGAPORE2, si2-t1a-svqx-hcr02, 192.168.194.48, TE_1/1/13, 172.31.253.130,10,  apac,  
CRESSEX, crx-t1a-hw1x-hrt02, 192.168.194.45, TE_5/1/13, 172.28.140.150,10, CRESSEX, crx-t1a-hw1x-hrt99, 192.168.201.174, TE_2/1/13, 172.28.140.149,10,  europe,  
LOS ANGELES, la-t1a-27gx-hpe01, 192.168.194.150, GE_5/1/1, 172.31.236.161,50, LOS ANGELES, la-t1a-cr02, 192.168.248.30, GigabitEthernet3/11, 172.31.236.162,50,  americas,  
AMSTERDAM, am-t1a-hrt03, 192.168.246.100, TE_4/1/2, 172.29.217.197,1000, FRANKFURT, fft-t1a-fnm-hcr01, 192.168.247.12, TE_4/1/2, 172.29.217.198,1000,  europe,6.12
NEW JERSEY, nj-t1a-njyx-hcr01, 192.168.194.212, TE_5/2/3, 172.31.202.106,100, NEW YORK, ny-t1a-cr03, 192.168.248.75, TenGigabitEthernet7/2, 172.31.202.105,100,  americas,1
STOCKHOLM, sto-t1a-stkx-hrt01, 192.168.194.155, GE_1/3/6, 172.28.128.205,100, STOCKHOLM, sto-t1a-stkx-hrt02, 192.168.201.88, GE_1/1/11, 172.28.128.206,100,  europe,  
NEW YORK, ny-t1a-rt05, 192.168.248.6, GigabitEthernet3/1/0, 172.31.36.77,65000, NEW YORK, ny-t1a-cr02, 192.168.248.74, GigabitEthernet3/3, 172.31.36.78,15,  americas,  
SANTA CLARA, sc-t1a-cr03, 192.168.251.10, GigabitEthernet3/17, 172.23.250.130,15, SANTA CLARA, sc-t1a-s99x-hpe02, 192.168.251.11, GE_10/1/11, 172.23.250.129,15,  americas,  
MAPUTO, map-t1a-1z9x-hrt01, 192.168.194.72, GE_1/3/1, 172.31.246.113,50000, JOHANNESBURG, jo-t1a-rt01, 192.168.246.16, GigabitEthernet7/0/3, 172.31.246.114,50000,  africa,8
STOCKHOLM, sto-t1a-stkx-hrt01, 192.168.194.155, GE_1/3/4, 172.28.128.150,1000, COPENHAGEN, cop-t1a-acphb-hrt01, 192.168.201.99, GE_1/1/1, 172.28.128.149,1000,  europe,8.94
SYDNEY, sy-t1a-1mhx-hrt02, 192.168.201.54, GE_5/1/3, 172.31.36.197,20000, AUCKLAND, auk-t1a-rt01, 192.168.252.16, GigabitEthernet0/0/2, 172.31.36.198,20000,  apac,  
Vietnam2, vi2-t1a-yqlx-hrt01, 192.168.194.196, GE_1/1/15, 172.31.206.21,100, VIETNAM, vi-t1a-rt01, 192.168.251.108, GigabitEthernet1/0/3, 172.31.206.22,100,  apac,1
FUJAIRAH, fuj-t1a-hrt01, 192.168.252.229, STM1_5/1/1, 172.29.217.233,6000, RIYADH, ryd-t1a-rt01, 192.168.252.232, POS3/1/1, 172.29.217.234,6000,  middleast,16
LONDON2, ln2-t1a-ldnx-hrt02, 192.168.201.127, TE_3/2/2, 172.31.85.33,10, LONDON2, ln2-t1a-ldnx-hrt01, 192.168.246.186, TE_3/1/1, 172.31.85.34,10,  europe,  
NEW JERSEY, nj-t1a-njyx-cr02, 192.168.194.4, GigabitEthernet7/0/0, 172.29.215.198,65535, NEW JERSEY, nj-t1a-njyx-hpe02, 192.168.248.41, GE_1/1/10, 172.29.215.197,65535,  americas,  
MOSCOW, mos-t1a-rt02, 192.168.246.73, POS2/2/0, 172.31.26.246,4000, FRANKFURT, fft-t1a-fnm-hcr01, 192.168.247.12, STM4_4/2/1, 172.31.26.245,4000,  europe,44.9
PARIS, par-t1a-p96x-hcr01, 192.168.194.137, TE_5/2/13, 172.31.84.145,2015, PARIS2, par2-t1a-pvux-hrt02, 192.168.194.239, TE_1/2/1, 172.31.84.146,2015,  europe,0.42
NEW YORK, ny-t1a-cr03, 192.168.248.75, GigabitEthernet3/15, 172.29.215.77,15, NEW YORK, ny-t1a-n99x-hpe02, 192.168.248.79, GE_1/1/12, 172.29.215.78,15,  americas,  
SINGAPORE2, si2-t1a-svqx-hcr01, 192.168.194.47, TE_5/2/1, 172.31.253.133,10, SINGAPORE2, si2-t1a-svqx-hcr02, 192.168.194.48, TE_5/2/1, 172.31.253.134,10,  apac,  
DUBAI, du-t1a-rt01, 192.168.252.224, GigabitEthernet4/0/0, 172.31.103.113,10, DUBAI, du-t1a-rt03, 192.168.252.225, GigabitEthernet4/0/0, 172.31.103.114,10,  middleast,  
ATLANTA, atl-t1a-a56x-hrt01, 192.168.194.149, TE_5/1/14, 172.31.197.49,1800, ASHBURN, ash-t1a-ae6x-hrt01, 92.168.194.135, TE_5/1/14, 172.31.197.50,1800,  americas,14.5
HONGKONG, hk-t1a-rt02-PE, 192.168.189.2, GigabitEthernet4/0/2, 172.31.248.82,15, HONGKONG, hk-t1a-h99x-hcr01, 192.168.194.49, GE_5/1/4, 172.31.248.81,15,  apac,  
SYDNEY2, sy2-t1a-0ppx-hrt01, 192.168.194.46, GE_5/1/4, 172.31.204.214,21000, AUCKLAND, auk-t1a-rt01, 192.168.252.16, GigabitEthernet1/0/2, 172.31.204.213,21000,  apac,  
Durban, dur-t1a-eaox-hrt01, 192.168.194.175, GE_5/1/6, 172.28.128.57,65535, CAPE TOWN, cap-t1a-acpta-acn-rt02, 192.168.201.76, GigabitEthernet0/0/0, 172.28.128.58,65535,  africa,32
NEW JERSEY, nj-t1a-njyx-hcr01, 192.168.194.212, TE_5/2/1, 172.28.147.82,10, NEW JERSEY, nj-t1a-njyx-hcr02, 192.168.201.196, TE_1/1/13, 172.28.147.81,10,  americas,  
PARIS, par-t1a-p96x-hcr01, 192.168.194.137, GE_5/2/8, 172.31.84.89,50000, LISBON, lsb-t1a-pv9x-hrt01, 192.168.201.113, GE_1/6/1, 172.31.84.90,50000,  europe,33.6
Durban, dur-t1a-eaox-hrt01, 192.168.194.175, GE_5/1/1, 172.31.207.45,2100, CAPE TOWN, cap-t1a-eagx-hrt02, 192.168.194.179, GE_5/1/1, 172.31.207.46,2100,  africa,28
TOKYO, tk-t1a-t0vx-hcr02, 192.168.201.191, GE_1/1/12, 172.31.24.181,60000, TOKYO2, tk2-t1a-rt01, 192.168.253.88, GigabitEthernet1/0/1, 172.31.24.182,60000,  apac,1
MAURITIUS, mau-t1a-rt02, 192.168.251.116, GigabitEthernet0/0/0, 172.31.25.58,10, MAURITIUS, mau-t1a-rt01, 192.168.253.170, GigabitEthernet0/0/0, 172.31.25.57,10,  africa,  
SINGAPORE2, si2-t1a-svqx-hcr01, 192.168.194.47, GE_1/1/11, 172.28.139.14,3700, JAKARTA, jk-t1a-rt01, 192.168.253.73, GigabitEthernet1/2/0, 172.28.139.13,3700,  apac,13
SYDNEY2, sy2-t1a-0ppx-hrt01, 192.168.194.46, TE_1/1/14, 172.28.139.2,10000, MELBOURNE2, mlb2-t1a-jn1x-hrt01, 192.168.194.70, TE_3/1/4, 172.28.139.1,10000,  apac,11.7
MIAMI, mia-t1a-rt01, 192.168.248.22, POS2/2/0, 172.31.12.101,3500, DALLAS, da-t1a-rt03, 192.168.251.35, POS8/0/0, 172.31.12.102,3500,  americas,28
CHICAGO, ch-t1a-rt01, 192.168.184.33, GigabitEthernet4/0/0, 192.168.38.113,6, CHICAGO, ch-t1a-rt03, 192.168.248.21, GigabitEthernet3/0/0, 192.168.38.114,1,  americas,  
TORONTO, tor-t1a-t6ux-hrt01, 192.168.194.144, GE_2/2/1, 172.28.146.113,65535, TORONTO, tor-t1a-t6ux-rt02, 192.168.201.185, GigabitEthernet0/1/1, 172.28.146.114,65535,  americas,  
NEW YORK, ny-t1a-n99x-hcr01, 192.168.194.136, TE_1/1/14, 172.31.197.89,10, NEW YORK, ny-t1a-cr03, 192.168.248.75, TenGigabitEthernet2/2, 172.31.197.90,10,  americas,  
ASHBURN, ash-t1a-ae6x-rt04, 192.168.201.188, GigabitEthernet1/0/1, 172.28.146.245,15, ASHBURN, ash-t1a-ae6x-hrt01, 92.168.194.135, GE_3/2/12, 172.28.146.246,15,  americas,  
NEW YORK, ny-t1a-n99x-hcr01, 192.168.194.136, GE_1/1/6, 172.20.248.229,60000, BOSTON, bos-t1a-rt01, 192.168.248.38, GigabitEthernet0/0/2, 172.20.248.230,60000,  americas,7
TOKYO, tk-t1a-t0vx-hpe02, 192.168.201.35, TE_1/1/13, 172.31.205.186,15, TOKYO, tk-t1a-t0vx-hcr01, 192.168.253.174, TE_2/1/1, 172.31.205.185,15,  apac,  
TORONTO, tor-t1a-t6ux-hrt01, 192.168.194.144, GE_5/1/11, 172.31.236.45,10, TORONTO, tor-t1a-rt02, 192.168.248.66, ge-3/1/0.0, 172.31.236.46,10,  americas,  
