Location,hostname,hostIP,interface,InterfaceIP,,Location,hostname,hostIP,interface,InterfaceIP,,Region,
MIAMI, mia-t1a-mlnx-hpe02, 192.168.194.148, GE_1/1/1, 172.31.236.73,10, MIAMI, mia-t1a-rt01, 192.168.248.22, GigabitEthernet2/1/3, 172.31.236.74,10,  americas,  
BANGKOK, bnk-t1a-wgzx-acn-rt01, 192.168.194.193, GigabitEthernet0/2/1, 172.31.206.166,65535, BANGKOK, bnk-t1a-rt01, 192.168.250.32, GigabitEthernet0/0/4, 172.31.206.165,65535,  apac,  
FRANKFURT, fft-t1a-fnmx-hcr02, 192.168.194.139, GE_5/1/4, 172.31.26.118,15, FRANKFURT, fft-t1a-rt07-ASBR, 192.168.254.38, GigabitEthernet1/0/0, 172.31.26.117,15,  europe,  
HONGKONG, hk-t1a-rt02-PE, 192.168.189.2, GigabitEthernet4/0/3, 172.31.25.74,15, HONGKONG, hk-t1a-rt08-PE, 192.168.253.16, GigabitEthernet2/0/0, 172.31.25.73,15,  apac,  
MADRID, ma-t1a-wv6x-hrt01, 192.168.194.22, GE_1/1/12, 172.23.102.41,15, MADRID, ma-t1a-rt01, 192.168.246.33, GigabitEthernet2/1/1, 172.23.102.42,15,  europe,  
ASHBURN, ash-t1a-ae6x-hrt03, 192.168.201.187, GE_1/1/8, 172.28.146.222,15, ASHBURN, ash-t1a-ae6x-rt04, 192.168.201.188, GigabitEthernet0/0/2, 172.28.146.221,15,  americas,  
LOS ANGELES, la-t1a-27gx-hpe01, 192.168.194.150, TE_1/1/13, 172.31.36.242,15, LOS ANGELES, la-t1a-cr01, 192.168.248.28, TenGigabitEthernet2/2, 172.31.36.241,15,  americas,  
KUALALAMPUR, kl-t1a-kvdx-rt03, 192.168.201.138, GigabitEthernet1/0/0, 172.28.129.186,65535, KUALALAMPUR, kl-t1a-kvdx-hrt01, 192.168.201.139, GE_2/1/9, 172.28.129.185,65535,  apac,  
JAKARTA2, jk2-t1a-IJNX-rt01, 192.168.194.162, GigabitEthernet0/0/0, 172.31.239.181,50, JAKARTA, jk-t1a-rt01, 192.168.253.73, GigabitEthernet1/0/2, 172.31.239.182,50,  apac,1
OSAKA, osa-t1a-rt02, 192.168.253.42, GigabitEthernet3/1/2, 172.28.139.38,700, TOKYO2, tk2-t1a-rt01, 192.168.253.88, GigabitEthernet0/1/0, 172.28.139.37,700,  apac,6
SINGAPORE2, si2-t1a-svqx-hcr01, 192.168.194.47, GE_1/1/2, 172.31.25.106,15, SINGAPORE2, si2-t1a-rt01, 192.168.250.10, GigabitEthernet8/0/2, 172.31.25.105,15,  apac,  
JAKARTA2, jk2-t1a-IJNX-rt01, 192.168.194.162, GigabitEthernet0/0/1, 172.31.163.93,65535, JAKARTA, jk-t1a-acgka-acn-rt02, 192.168.201.70, GigabitEthernet0/0/0, 172.31.163.94,65535,  apac,1
MIAMI, mia-t1a-mlnx-hpe02, 192.168.194.148, GE_1/1/6, 172.28.147.58,65535, ATLANTA, atl-t1a-a56x-hrt02, 192.168.201.194, GE_1/1/10, 172.28.147.57,65535,  americas,  
NEW YORK, ny-t1a-rt01, 192.168.248.2, GigabitEthernet3/1/3, 172.31.36.17,15, NEW YORK, ny-t1a-cr03, 192.168.248.75, GigabitEthernet3/2, 172.31.36.18,15,  americas,  
SANTA CLARA, sc-t1a-sv1x-hcr01, 192.168.194.203, TE_1/2/1, 172.31.197.181,15, SANTA CLARA, sc-t1a-s99x-hpe01, 192.168.251.17, TE_10/1/14, 172.31.197.182,15,  americas,  
PARIS, par-t1a-p96x-hcr01, 192.168.194.137, TE_1/2/4, 172.31.85.197,10, PARIS, par-t1a-p96x-hcr02, 192.168.201.120, TE_3/2/2, 172.31.85.198,10,  europe,  
SANTA CLARA, sc-t1a-sv1x-hcr01, 192.168.194.203, TE_1/2/3, 172.31.236.37,4900, CHICAGO, ch-t1a-ct8x-hpe01, 192.168.200.17, TE_1/1/14, 172.31.236.38,4900,  americas,50.1
NEW JERSEY, nj-t1a-njyx-hcr01, 192.168.194.212, TE_1/1/13, 172.31.197.101,2700, DALLAS, da-t1a-d0vx-hpe01, 192.168.247.23, TE_1/1/14, 172.31.197.102,2700,  americas,39.1
NEW YORK, ny-t1a-rt02, 192.168.248.3, GigabitEthernet1/11, 59.163.55.202,15, NEW YORK, ny-t1a-cr02, 192.168.248.74, GigabitEthernet3/17, 59.163.55.201,15,  americas,  
JAKARTA2, jk2-t1a-IJNX-rt01, 192.168.194.162, POS1/1/2, 172.31.239.177,5000, SINGAPORE, si-t1a-hcr01, 192.168.250.14, STM1_5/2/2, 172.31.239.178,5000,  apac,12.4
FRANKFURT2, fft2-t1a-feqx-hrt01, 192.168.194.195, GE_1/1/2, 172.31.143.158,4000, BUDAPEST, bud-t1a-rt02, 192.168.246.89, GigabitEthernet3/0/3, 172.31.143.157,4000,  europe,16
NEW YORK, ny-t1a-rt02, 192.168.248.3, GigabitEthernet6/1, 59.163.55.198,15, NEW YORK, ny-t1a-cr03, 192.168.248.75, GigabitEthernet3/17, 59.163.55.197,15,  americas,  
PARIS, par-t1a-p96x-hcr01, 192.168.194.137, TE_1/2/2, 172.31.85.26,1350, AMSTERDAM, am-t1a-hrt03, 192.168.246.100, TE_1/2/2, 172.31.85.25,1350,  europe,9.76
DOHA2, doh2-t1a-un4x-hrt01, 192.168.194.41, STM4_5/2/9, 172.31.156.77,4000, FUJAIRAH, fuj-t1a-hrt01, 192.168.252.229, STM4_5/1/9, 172.31.156.78,4000,  middleast,9.56
HONGKONG2, hk2-t1a-kthx-hrt01, 192.168.194.185, TE_5/1/14, 172.31.163.202,10, HONGKONG2, hk2-t1a-kthx-hrt02, 192.168.201.73, TE_3/1/13, 172.31.163.201,10,  apac,  
DUBLIN, dub-t1a-edux-hrt02, 192.168.201.198, GE_1/1/12, 172.28.141.221,65535, LONDON, ln-t1a-l78x-hpe01, 192.168.246.170, GE_5/1/12, 172.28.141.222,65535,  europe,0.34
FRANKFURT, fft-t1a-fnmx-hcr02, 192.168.194.139, GE_1/1/5, 172.29.213.113,10000, ISTANBUL2, ist2-t1a-hrt01, 192.168.247.13, GE_1/8/2, 172.29.213.114,10000,  europe,40.2
SINGAPORE2, si2-t1a-svqx-hcr02, 192.168.194.48, GE_5/2/4, 172.31.205.214,15, SINGAPORE2, si2-t1a-svqx-hpe02, 192.168.201.37, GE_3/1/13, 172.31.205.213,15,  apac,  
HONGKONG2, hk2-t1a-kthx-hrt01, 192.168.194.185, GE_1/1/5, 172.28.139.33,10, HONGKONG2, hk2-t1a-rt01, 192.168.253.12, GigabitEthernet3/0/4, 172.28.139.34,10,  apac,  
