,Location,hostname,interface,hostname.1,interface.1,_merge
647,CHICAGO,CH-T1A-RT03,POS2/3/0,CH-T1A-CT8X-HPE03,P3/1/13,right_only
648,CHICAGO,CH-T1A-RT03,TE4/2,NY-T1A-CR03,TE9/2,right_only
649,CHICAGO,CH-T1A-CT8X-HPE01,P 4/1/1,CH-T1A-RT03,TENGIGABITETHERNET4/1,right_only
650,CHICAGO,CH-T1A-CT8X-HPE01,P 1/1/13,CH-T1A-RT03,TENGIGABITETHERNET9/1,right_only
651,CHICAGO,CH-T1A-CT8X-HPE01,GE_1/1/1,CH-T1A-RT01,GIGABITETHERNET7/1/3,right_only
652,CHICAGO,CH-T1A-CT8X-HPE01,TE_1/1/14,SC-T1A-SV1X-HCR01,TE_1/2/3,right_only
653,CHICAGO,CH-T1A-CT8X-HPE01,TE_2/1/1,SEA2-T1A-EMSX-HRT01,TE_5/1/13,right_only
654,CHICAGO,CH-T1A-CT8X-HPE01,TE_4/1/2,TOR-T1A-T6UX-HRT01,TE_1/1/14,right_only
655,DALLAS,DA-T1A-RT03,TENGIGABITETHERNET4/1,CH-T1A-CT8X-HPE01,TE_5/1/13,right_only
656,DALLAS,DA-T1A-RT03,GIGABITETHERNET8/1/2,HOS-T1A-RT01,GIGABITETHERNET0/0/2,right_only
657,DALLAS,DA-T1A-RT03,TENGIGABITETHERNET7/2,DA-T1A-D0VX-HPE01,TE_5/1/14,right_only
658,DALLAS,DA-T1A-RT03,GI 3/0/0,DA-T1A-RT01,GIGABITETHERNET2/1/3,right_only
659,DALLAS,DA-T1A-RT03,TENGI 4/2,DA-T1A-D0VX-HPE01,TE_1/1/13,right_only
660,DALLAS,DA-T1A-D0VX-HPE01,GE_2/2/13,DA-T1A-RT01,GIGABITETHERNET2/2/2,right_only
661,DALLAS,DA-T1A-D0VX-HPE01,GE_2/2/14,DA-T1A-RT01,GIGABITETHERNET2/2/3,right_only
662,DALLAS,DA-T1A-D0VX-HPE01,TE_1/1/14,NJ-T1A-NJYX-HCR01,TE_1/1/13,right_only
663,DALLAS,DA-T1A-D0VX-HPE01,TE_4/1/1,LA-T1A-27GX-HPE01,TE_1/1/14,right_only
664,DALLAS,DA-T1A-RT03,PO8/0/0,MIA-T1A-RT01,PO2/2/0,right_only
665,NEW JERSEY,NJ-T1A-NJYX-CR02,TENGIGABITETHERNET4/1,LN-T1A-L78X-HCR02,TE_2/2/1,right_only
666,NEW JERSEY,NJ-T1A-NJYX-CR02,TENGIGABITETHERNET8/1,NJ-T1A-NJYX-HCR01,TE_5/1/2,right_only
667,NEW JERSEY,NJ-T1A-NJYX-CR02,TENGIGABITETHERNET9/1,LN-T1A-L78X-HCR02,TE_3/1/2,right_only
668,NEW JERSEY,NJ-T1A-NJYX-CR02,GIGABITETHERNET7/0/2,NJ-T1A-NJYX-HCR01,GE_1/1/10,right_only
669,NEW JERSEY,NJ-T1A-NJYX-CR02,TENGIGABITETHERNET2/2,NJ-T1A-NJYX-HCR01,TE_1/2/3,right_only
670,NEW JERSEY,NJ-T1A-NJYX-HPE01,TE_1/1/13,NJ-T1A-NJYX-HCR01,TE_1/1/14,right_only
671,NEW JERSEY,NJ-T1A-NJYX-HPE01,TE_9/1/2,NJ-T1A-NJYX-CR02,TENGIGABITETHERNET8/2,right_only
672,NEW JERSEY,NJ-T1A-NJYX-HPE02,GE_1/1/10,NJ-T1A-NJYX-CR02,GIGABITETHERNET7/0/0,right_only
673,NEW JERSEY,NJ-T1A-NJYX-HPE02,TE_10/1/14,NJ-T1A-NJYX-CR02,TENGIGABITETHERNET4/2,right_only
674,NEW JERSEY,NJ-T1A-NJYX-HPE02,TE_9/1/13,NJ-T1A-NJYX-HCR01,TE_5/1/1,right_only
675,NEW JERSEY,NJ-T1A-NJYX-HCR01,TE_1/2/1,ASH-T1A-AE6X-HRT01,1/1/14,right_only
676,SANTA CLARA,SC-T1A-SV1X-HCR01,TE_1/1/13,NY-T1A-CR02,TENGIGABITETHERNET2/1,right_only
677,SANTA CLARA,SC-T1A-SV1X-HCR01,TE_5/1/2,TK-T1A-T0VX-HCR01,TE_1/1/13,right_only
678,SANTA CLARA,SC-T1A-CR03,TENGIGABITETHERNET2/2,SC-T1A-SV1X-HCR01,TE_1/1/14,right_only
679,SANTA CLARA,SC-T1A-CR03,TENGIGABITETHERNET4/2,SC-T1A-SV1X-HCR01,TE_5/1/4,right_only
680,SANTA CLARA,SC-T1A-CR03,TENGIGABITETHERNET4/1,SEA-T1A-00SX-HPE01,TE_3/1/13,right_only
681,SANTA CLARA,SC-T1A-CR03,GIGABITETHERNET3/13,SC-T1A-S99X-HPE02,40544,right_only
682,SANTA CLARA,SC-T1A-CR03,TENGIGABITETHERNET2/1,LA-T1A-CR01,TE2/1,right_only
683,SANTA CLARA,SC-T1A-CR03,GIGABITETHERNET3/17,SC-T1A-S99X-HPE02,40553,right_only
684,SANTA CLARA,SC-T1A-CR03,GIGABITETHERNET3/12,SC-T1A-S99X-HPE01,40544,right_only
685,SANTA CLARA,SC-T1A-S99X-HPE01,TE_10/1/14,SC-T1A-SV1X-HCR01,TE_5/1/1,right_only
686,SANTA CLARA,SC-T1A-S99X-HPE01,2011-01-01 00:00:00,SC-T1A-CR03,GIGABITETHERNET3/12,right_only
687,SANTA CLARA,SC-T1A-S99X-HPE01,TE_1/1/13,SC-T1A-S99X-HPE02,TE_1/1/13,right_only
688,SANTA CLARA,SC-T1A-S99X-HPE02,TE_10/1/14,SC-T1A-SV1X-HCR01,TE_5/1/1,right_only
689,SANTA CLARA,SC-T1A-S99X-HPE02,2011-01-01 00:00:00,SC-T1A-CR03,GIGABITETHERNET3/13,right_only
690,SANTA CLARA,SC-T1A-S99X-HPE02,2011-01-10 00:00:00,SC-T1A-CR03,GIGABITETHERNET3/17,right_only
691,SEATTLE,SEA-T1A-00SX-HPE01,TE_5/1/13,SEA2-T1A-EMSX-HRT01,TE_1/1/14,right_only
692,SEATTLE II,SEA2-T1A-EMSX-HRT01,TE_5/1/13,CH-T1A-CT8X-HPE01,TE_2/1/1,right_only
693,SEATTLE II,SEA2-T1A-EMSX-HRT01,TE_1/1/14,SEA-T1A-00SX-HPE01,TE_5/1/13,right_only
694,BRAZIL,BRZ-T1A-XXHX-HRT01,GE_1/1/3,NY-T1A-N99X-HCR01,GE_1/1/4,right_only
695,TORONTTO,TOR-T1A-RT01,GE-2/1/0,TOR-T1A-RT02,GE-2/1/0,right_only
696,TORONTTO,TOR-T1A-RT01,GE-3/1/0,TOR-T1A-T6UX-HRT01,GE-3/1/0.0,right_only
697,TORONTTO,TOR-T1A-T6UX-HRT01,GE_1/1/11,TOR-T1A-RT01,GE-3/1/0.0,right_only
698,TORONTTO,TOR-T1A-T6UX-HRT01,GE_5/1/11,TOR-T1A-RT02,GE-3/1/0.0,right_only
699,TORONTTO,TOR-T1A-T6UX-HRT01,TE_5/1/14,TOR2-T1A-TTTX-HRT01,TE_5/1/13,right_only
700,TORONTTO,TOR-T1A-T6UX-HRT01,TE_1/1/14,CH-T1A-CT8X-HPE01,TE_4/1/2,right_only
701,TORONTTO,TOR-T1A-T6UX-HRT01,GE_2/2/1,TOR-T1A-T6UX-RT02,GIGABITETHERNET0/1/1,right_only
702,TORONTTO,TOR-T1A-T6UX-HRT01,GE_1/1/5,TOR-T1A-T6UX-RT02,GIGABITETHERNET0/0/0,right_only
703,TORONTTO,TOR-T1A-T6UX-HRT01,GE_2/2/3,TOR-T1A-T6UX-RT04,GIGABITETHERNET0/0/0,right_only
704,TORONTTO,TOR-T1A-T6UX-HRT01,GE_3/1/3,TOR-T1A-T6UX-RT04,GIGABITETHERNET0/1/1,right_only
705,TORONTTO,TOR-T1A-RT02,GE-2/1/0.0,TOR-T1A-RT01,GE-2/1/0,right_only
706,TORONTTO,TOR-T1A-RT02,GE-3/1/0.0,TOR-T1A-T6UX-HRT01,GE_5/1/11,right_only
707,TORONTTO II,TOR2-T1A-TTTX-HRT01,GE_5/1/2,NY-T1A-N99X-HCR01,GE_5/1/12,right_only
708,LONDON TELEHOUSE,LN2-T1A-LDNX-HRT01,P1/1/13,LN2-T1A-LDNX-HRT02,P1/2/2,right_only
709,LONDON TELEHOUSE,LN2-T1A-LDNX-HRT01,P3/1/1,LN2-T1A-LDNX-HRT02,P3/2/2,right_only
710,LONDON TELEHOUSE,LN2-T1A-LDNX-HRT01,P1/1/9,ISL-T1A-XXGX-HRT01,P1/1/15,right_only
711,LONDON TELEHOUSE,LN2-T1A-LDNX-HRT01,P5/1/9,DUB-T1A-RT02,GI3/0/3,right_only
712,LONDON TELEHOUSE,LN2-T1A-LDNX-HRT01,P5/1/14,LN-T1A-L78X-HCR02,P5/2/4,right_only
713,LONDON TELEHOUSE,LN2-T1A-LDNX-HRT01,P5/1/13,LN-T1A-RT11-PE,TE7/1,right_only
714,LONDON TELEHOUSE,LN2-T1A-LDNX-HRT01,P4/2/13,PAR-T1A-P96X-HCR02,P3/1/3,right_only
715,LONDON TELEHOUSE,LN2-T1A-LDNX-HRT01,P4/1/6,LUA-T1A-7B5X-HRT01,P1/7/5,right_only
716,LONDON TELEHOUSE,LN2-T1A-LDNX-HRT02,P1/2/2,LN2-T1A-LDNX-HRT01,P1/1/13,right_only
717,LONDON TELEHOUSE,LN2-T1A-LDNX-HRT02,P3/2/2,LN2-T1A-LDNX-HRT01,P3/1/1,right_only
718,LONDON TELEHOUSE,LN2-T1A-LDNX-HRT02,P5/1/1,BRU-T1A-RT01,GI7/1/0,right_only
719,LONDON TELEHOUSE,LN2-T1A-LDNX-HRT02,P1/1/2,LN-T1A-RT05,GI3/0/3,right_only
720,LONDON TELEHOUSE,LN2-T1A-LDNX-HRT02,P3/2/3,LN-T1A-RT11-PE,TE3/1,right_only
721,LONDON TELEHOUSE,LN2-T1A-LDNX-HRT02,P1/2/3,LN-T1A-RT11-PE,TE7/2,right_only
722,LONDON TELEHOUSE,LN2-T1A-LDNX-HRT02,P5/1/13,HBG-T1A-RT03,TE9/2,right_only
723,LONDON TELEHOUSE,LN2-T1A-LDNX-HRT02,P1/1/13,LN-T1A-HCR01,P1/2/1,right_only
724,LONDON TELEHOUSE,LN2-T1A-LDNX-HRT02,P1/1/1,LUA-T1A-7B5X-HRT01,P1/10/1,right_only
725,LONDON TELEHOUSE,LN-T1A-RT05,GI3/0/3,LN2-T1A-LDNX-HRT02,P1/1/2,right_only
726,LONDON TELEHOUSE,LN-T1A-RT05,GI3/0/0,LN-T1A-L78X-HCR02,P1/1/3,right_only
727,LONDON TELEHOUSE,LN-T1A-RT11-PE,TE7/2,LN2-T1A-LDNX-HRT02,P1/2/3,right_only
728,LONDON TELEHOUSE,LN-T1A-RT11-PE,TE3/1,LN2-T1A-LDNX-HRT02,P3/2/3,right_only
729,LONDON TELEHOUSE,LN-T1A-RT11-PE,TE7/1,LN2-T1A-LDNX-HRT01,P5/1/13,right_only
730,ISTANBUL-II,IST2-T1A-HRT01,P1/8/4,IST-T1A-RT01,GI2/0/1,right_only
731,ISTANBUL-II,IST2-T1A-HRT01,P1/8/4,IST-T1A-RT01,GI2/0/1,right_only
732,ISTANBUL-II,IST2-T1A-HRT01,P1/8/2,FFT-T1A-FNMX-HCR02,P1/1/5,right_only
733,ISTANBUL-II,IST2-T1A-HRT01,P1/8/2,FFT-T1A-FNMX-HCR02,P1/1/5,right_only
734,ISTANBUL-II,IST2-T1A-HRT01,P1/8/3,FFT-T1A-FNM-HCR01,P3/1/8,right_only
735,ISTANBUL-II,IST2-T1A-HRT01,P1/8/3,FFT-T1A-FNM-HCR01,P3/1/8,right_only
736,ISTANBUL-I,IST-T1A-RT01,GI2/0/1,IST2-T1A-HRT01,P1/8/4,right_only
737,ISTANBUL-I,IST-T1A-RT01,GI2/0/1,IST2-T1A-HRT01,P1/8/4,right_only
738,ISTANBUL-I,IST-T1A-RT01,GI3/0/2,FFT-T1A-FNM-HCR01,P2/1/5,right_only
739,ISTANBUL-I,IST-T1A-RT01,GI3/0/2,FFT-T1A-FNM-HCR01,P2/1/5,right_only
740,HIGHBRIDGE,HBG-T1A-HB9X-HRT01,P1/1/8,HBG-T1A-RT01,GI1/0/4,right_only
741,HIGHBRIDGE,HBG-T1A-HB9X-HRT01,P1/1/8,HBG-T1A-RT01,GI1/0/4,right_only
742,HIGHBRIDGE,HBG-T1A-HB9X-HRT01,P3/1/10,PAR2-T1A-RT01,POS2/1/0,right_only
743,HIGHBRIDGE,HBG-T1A-HB9X-HRT01,P3/1/10,PAR2-T1A-RT01,POS2/1/0,right_only
744,HIGHBRIDGE,HBG-T1A-HB9X-HRT01,P5/1/14,CRX-T1A-HW1X-HRT02,P5/1/14,right_only
745,HIGHBRIDGE,HBG-T1A-HB9X-HRT01,P5/1/14,CRX-T1A-HW1X-HRT02,P5/1/14,right_only
746,HIGHBRIDGE,HBG-T1A-HB9X-HRT01,P1/1/13,HBG-T1A-RT03,TE7/1,right_only
747,HIGHBRIDGE,HBG-T1A-HB9X-HRT01,P1/1/13,HBG-T1A-RT03,TE7/1,right_only
748,HIGHBRIDGE,HBG-T1A-HB9X-HRT01,P5/1/13,HBG-T1A-RT03,TE9/1,right_only
749,HIGHBRIDGE,HBG-T1A-HB9X-HRT01,P5/1/13,HBG-T1A-RT03,TE9/1,right_only
750,HIGHBRIDGE,HBG-T1A-RT03,TE9/2,LN2-T1A-LDNX-HRT02,P5/1/13,right_only
751,HIGHBRIDGE,HBG-T1A-RT03,TE9/2,LN2-T1A-LDNX-HRT02,P5/1/13,right_only
752,HIGHBRIDGE,HBG-T1A-RT03,TE9/1,HBG-T1A-HB9X-HRT01,P5/1/13,right_only
753,HIGHBRIDGE,HBG-T1A-RT03,TE9/1,HBG-T1A-HB9X-HRT01,P5/1/13,right_only
754,HIGHBRIDGE,HBG-T1A-RT03,TE7/1,HBG-T1A-HB9X-HRT01,P1/1/13,right_only
755,HIGHBRIDGE,HBG-T1A-RT03,TE7/1,HBG-T1A-HB9X-HRT01,P1/1/13,right_only
756,HIGHBRIDGE,HBG-T1A-RT03,GI3/0/1,HBG-T1A-RT01,GI1/2/1,right_only
757,HIGHBRIDGE,HBG-T1A-RT03,GI3/0/1,HBG-T1A-RT01,GI1/2/1,right_only
758,HIGHBRIDGE,HBG-T1A-RT03,GI3/0/0,HBG-T1A-RT01,GI2/1/1,right_only
759,HIGHBRIDGE,HBG-T1A-RT03,GI3/0/0,HBG-T1A-RT01,GI2/1/1,right_only
760,HIGHBRIDGE,HBG-T1A-RT01,GI1/2/1,HBG-T1A-RT03,GI3/0/1,right_only
761,HIGHBRIDGE,HBG-T1A-RT01,GI1/2/1,HBG-T1A-RT03,GI3/0/1,right_only
762,HIGHBRIDGE,HBG-T1A-RT01,GI2/1/1,HBG-T1A-RT03,GI3/0/0,right_only
763,HIGHBRIDGE,HBG-T1A-RT01,GI2/1/1,HBG-T1A-RT03,GI3/0/0,right_only
764,HIGHBRIDGE,HBG-T1A-RT01,GI1/0/4,HBG-T1A-HB9X-HRT01,P1/1/8,right_only
765,HIGHBRIDGE,HBG-T1A-RT01,GI1/0/4,HBG-T1A-HB9X-HRT01,P1/1/8,right_only
766,HELSINKI-I,HEL1-T1A-HRT01,P2/1/2,FFT-T1A-FNM-HCR01,P2/1/9,right_only
767,HELSINKI-I,HEL1-T1A-HRT01,P2/1/2,FFT-T1A-FNM-HCR01,P2/1/9,right_only
768,HELSINKI-I,HEL1-T1A-HRT01,P2/1/4,HEL2-T1A-HRT01,P2/1/4,right_only
769,HELSINKI-I,HEL1-T1A-HRT01,P2/1/4,HEL2-T1A-HRT01,P2/1/4,right_only
770,HELSINKI-I,HEL1-T1A-HRT01,P4/1/7,HEL2-T1A-HRT01,P4/1/6,right_only
771,HELSINKI-I,HEL1-T1A-HRT01,P4/1/7,HEL2-T1A-HRT01,P4/1/6,right_only
772,HELSINKI-II,HEL2-T1A-HRT01,P2/1/13,LN-T1A-HCR01,P4/1/1,right_only
773,HELSINKI-II,HEL2-T1A-HRT01,P2/1/13,LN-T1A-HCR01,P4/1/1,right_only
774,HELSINKI-II,HEL2-T1A-HRT01,P2/1/4,HEL1-T1A-HRT01,P2/1/4,right_only
775,HELSINKI-II,HEL2-T1A-HRT01,P2/1/4,HEL1-T1A-HRT01,P2/1/4,right_only
776,HELSINKI-II,HEL2-T1A-HRT01,P4/1/6,HEL1-T1A-HRT01,P4/1/7,right_only
777,HELSINKI-II,HEL2-T1A-HRT01,P4/1/6,HEL1-T1A-HRT01,P4/1/7,right_only
778,GENEVA,GEN-T1A-GVSX-HRT01,P5/1/2,PAR-T1A-P96X-HCR01,P5/2/3,right_only
779,GENEVA,GEN-T1A-GVSX-HRT01,P5/1/2,PAR-T1A-P96X-HCR01,P5/2/3,right_only
780,GENEVA,GEN-T1A-GVSX-HRT01,P1/1/2,ZU-T1A-RT02,GI3/0/3,right_only
781,GENEVA,GEN-T1A-GVSX-HRT01,P1/1/2,ZU-T1A-RT02,GI3/0/3,right_only
782,FRANKFURT-III,FFT3-T1A-FR1X-HRT01,P1/1/13,FFT-T1A-FNM-HCR01,P2/2/1,right_only
783,FRANKFURT-III,FFT3-T1A-FR1X-HRT01,P1/1/13,FFT-T1A-FNM-HCR01,P2/2/1,right_only
784,FRANKFURT-III,FFT3-T1A-FR1X-HRT01,P5/1/13,FFT2-T1A-FEQX-HRT01,P5/1/13,right_only
785,FRANKFURT-III,FFT3-T1A-FR1X-HRT01,P5/1/13,FFT2-T1A-FEQX-HRT01,P5/1/13,right_only
786,FRANKFURT-III,FFT3-T1A-FR1X-HRT01,P1/1/5,ISL-T1A-XXGX-HRT01,P2/1/15,right_only
787,FRANKFURT-III,FFT3-T1A-FR1X-HRT01,P1/1/5,ISL-T1A-XXGX-HRT01,P2/1/15,right_only
788,FRANKFURT-III,FFT3-T1A-FR1X-HRT01,P5/1/1,ISL-T1A-ATLVA-ACN-RT02,GI0/0/0,right_only
789,FRANKFURT-III,FFT3-T1A-FR1X-HRT01,P5/1/1,ISL-T1A-ATLVA-ACN-RT02,GI0/0/0,right_only
790,DUBLIN,DUB-T1A-RT01,GI3/0/1,DUB-T1A-RT02,GI3/0/1,right_only
791,DUBLIN,DUB-T1A-RT01,GI3/0/1,DUB-T1A-RT02,GI3/0/1,right_only
792,DUBLIN,DUB-T1A-RT01,GI3/0/0,DUB-T1A-RT02,GI3/0/0,right_only
793,DUBLIN,DUB-T1A-RT01,GI3/0/0,DUB-T1A-RT02,GI3/0/0,right_only
794,DUBLIN,DUB-T1A-RT01,GI3/0/3,LN-T1A-L78X-HCR02,P1/1/6,right_only
795,DUBLIN,DUB-T1A-RT01,GI3/0/3,LN-T1A-L78X-HCR02,P1/1/6,right_only
796,DUBLIN,DUB-T1A-RT02,GI3/0/3,LN2-T1A-LDNX-HRT01,P5/1/9,right_only
797,DUBLIN,DUB-T1A-RT02,GI3/0/3,LN2-T1A-LDNX-HRT01,P5/1/9,right_only
798,DUBLIN,DUB-T1A-RT02,GI3/0/1,DUB-T1A-RT01,GI3/0/1,right_only
799,DUBLIN,DUB-T1A-RT02,GI3/0/1,DUB-T1A-RT01,GI3/0/1,right_only
800,DUBLIN,DUB-T1A-RT02,GI3/0/0,DUB-T1A-RT01,GI3/0/0,right_only
801,DUBLIN,DUB-T1A-RT02,GI3/0/0,DUB-T1A-RT01,GI3/0/0,right_only
802,ZURICH,ZU-T1A-RT01,GI2/1/1,FFT-T1A-FNM-HCR01,P2/1/1,right_only
803,ZURICH,ZU-T1A-RT01,GI2/1/1,FFT-T1A-FNM-HCR01,P2/1/1,right_only
804,ZURICH,ZU-T1A-RT01,GI2/1/0,ZU-T1A-RT02,GI2/1/0,right_only
805,ZURICH,ZU-T1A-RT01,GI2/1/0,ZU-T1A-RT02,GI2/1/0,right_only
806,ZURICH,ZU-T1A-RT01,GI3/0/1,ZU-T1A-RT02,GI3/0/1,right_only
807,ZURICH,ZU-T1A-RT01,GI3/0/1,ZU-T1A-RT02,GI3/0/1,right_only
808,ZURICH,ZU-T1A-RT01,GI3/0/0,ZU-T1A-RT02,GI3/0/0,right_only
809,ZURICH,ZU-T1A-RT01,GI3/0/0,ZU-T1A-RT02,GI3/0/0,right_only
810,ZURICH,ZU-T1A-RT02,GI2/1/0,ZU-T1A-RT01,GI2/1/0,right_only
811,ZURICH,ZU-T1A-RT02,GI2/1/0,ZU-T1A-RT01,GI2/1/0,right_only
812,ZURICH,ZU-T1A-RT02,GI3/0/1,ZU-T1A-RT01,GI3/0/1,right_only
813,ZURICH,ZU-T1A-RT02,GI3/0/1,ZU-T1A-RT01,GI3/0/1,right_only
814,ZURICH,ZU-T1A-RT02,GI3/0/0,ZU-T1A-RT01,GI3/0/0,right_only
815,ZURICH,ZU-T1A-RT02,GI3/0/0,ZU-T1A-RT01,GI3/0/0,right_only
816,ZURICH,ZU-T1A-RT02,GI3/0/3,GEN-T1A-GVSX-HRT01,P1/1/2,right_only
817,ZURICH,ZU-T1A-RT02,GI3/0/3,GEN-T1A-GVSX-HRT01,P1/1/2,right_only
818,WARSAW,WA-T1A-WZNX-HRT01,P1/1/13,WA-T1A-WZNX-HRT02,P1/1/13,right_only
819,WARSAW,WA-T1A-WZNX-HRT01,P1/1/13,WA-T1A-WZNX-HRT02,P1/1/13,right_only
820,WARSAW,WA-T1A-WZNX-HRT01,P2/1/13,WA-T1A-WZNX-HRT02,P2/1/13,right_only
821,WARSAW,WA-T1A-WZNX-HRT01,P2/1/13,WA-T1A-WZNX-HRT02,P2/1/13,right_only
822,WARSAW,WA-T1A-WZNX-HRT01,P1/1/11,FFT-T1A-FNMX-HCR02,P5/1/7,right_only
823,WARSAW,WA-T1A-WZNX-HRT01,P1/1/11,FFT-T1A-FNMX-HCR02,P5/1/7,right_only
824,WARSAW,WA-T1A-WZNX-HRT01,P1/1/12,WA-T1A-WZNX-HPE02,P1/11/1,right_only
825,WARSAW,WA-T1A-WZNX-HRT01,P1/1/12,WA-T1A-WZNX-HPE02,P1/11/1,right_only
826,WARSAW,WA-T1A-WZNX-HRT02,P1/1/13,WA-T1A-WZNX-HRT01,P1/1/13,right_only
827,WARSAW,WA-T1A-WZNX-HRT02,P1/1/13,WA-T1A-WZNX-HRT01,P1/1/13,right_only
828,WARSAW,WA-T1A-WZNX-HRT02,P2/1/13,WA-T1A-WZNX-HRT01,P2/1/13,right_only
829,WARSAW,WA-T1A-WZNX-HRT02,P2/1/13,WA-T1A-WZNX-HRT01,P2/1/13,right_only
830,WARSAW,WA-T1A-WZNX-HRT02,P1/1/12,WA-T1A-WZNX-HPE01,P1/9/4,right_only
831,WARSAW,WA-T1A-WZNX-HRT02,P1/1/12,WA-T1A-WZNX-HPE01,P1/9/4,right_only
832,WARSAW,WA-T1A-WZNX-HRT02,P1/1/11,FFT2-T1A-FEQ-RT02,GI2/1/3,right_only
833,WARSAW,WA-T1A-WZNX-HRT02,P1/1/11,FFT2-T1A-FEQ-RT02,GI2/1/3,right_only
834,WARSAW,WA-T1A-WZNX-HPE01,P1/9/4,WA-T1A-WZNX-HRT02,P1/1/12,right_only
835,WARSAW,WA-T1A-WZNX-HPE01,P1/9/4,WA-T1A-WZNX-HRT02,P1/1/12,right_only
836,WARSAW,WA-T1A-WZNX-HPE01,P1/9/1,WA-T1A-WZNX-HPE02,P1/9/1,right_only
837,WARSAW,WA-T1A-WZNX-HPE01,P1/9/1,WA-T1A-WZNX-HPE02,P1/9/1,right_only
838,WARSAW,WA-T1A-WZNX-HPE02,P1/11/1,WA-T1A-WZNX-HRT01,P1/1/12,right_only
839,WARSAW,WA-T1A-WZNX-HPE02,P1/11/1,WA-T1A-WZNX-HRT01,P1/1/12,right_only
840,WARSAW,WA-T1A-WZNX-HPE02,P1/9/1,WA-T1A-WZNX-HPE01,P1/9/1,right_only
841,WARSAW,WA-T1A-WZNX-HPE02,P1/9/1,WA-T1A-WZNX-HPE01,P1/9/1,right_only
842,STOCKHOLM,STO-T1A-STKX-HRT01,P1/8/5,STO-T1A-RT04,GI0/0/1,right_only
843,STOCKHOLM,STO-T1A-STKX-HRT01,P1/8/5,STO-T1A-RT04,GI0/0/1,right_only
844,STOCKHOLM,STO-T1A-STKX-HRT01,P1/3/6,STO-T1A-STKX-HRT02,P1/1/11,right_only
845,STOCKHOLM,STO-T1A-STKX-HRT01,P1/3/6,STO-T1A-STKX-HRT02,P1/1/11,right_only
846,STOCKHOLM,STO-T1A-STKX-HRT01,P1/7/5,STO-T1A-STKX-HRT02,P2/1/41,right_only
847,STOCKHOLM,STO-T1A-STKX-HRT01,P1/7/5,STO-T1A-STKX-HRT02,P2/1/41,right_only
848,STOCKHOLM,STO-T1A-STKX-HRT01,P1/3/4,COP-T1A-ACPHB-HRT01,P1/1/1,right_only
849,STOCKHOLM,STO-T1A-STKX-HRT01,P1/3/4,COP-T1A-ACPHB-HRT01,P1/1/1,right_only
850,STOCKHOLM,STO-T1A-RT04,GI1/0/1,STO-T1A-STKX-HRT02,P2/1/43,right_only
851,STOCKHOLM,STO-T1A-RT04,GI1/0/1,STO-T1A-STKX-HRT02,P2/1/43,right_only
852,STOCKHOLM,STO-T1A-RT04,GI0/0/0,STO-T1A-STKX-HRT02,P1/1/41,right_only
853,STOCKHOLM,STO-T1A-RT04,GI0/0/0,STO-T1A-STKX-HRT02,P1/1/41,right_only
854,STOCKHOLM,STO-T1A-RT04,GI0/0/1,STO-T1A-STKX-HRT01,P1/8/5,right_only
855,STOCKHOLM,STO-T1A-RT04,GI0/0/1,STO-T1A-STKX-HRT01,P1/8/5,right_only
856,STOCKHOLM,STO-T1A-STKX-HRT02,P1/1/11,STO-T1A-STKX-HRT01,P1/3/6,right_only
857,STOCKHOLM,STO-T1A-STKX-HRT02,P1/1/11,STO-T1A-STKX-HRT01,P1/3/6,right_only
858,STOCKHOLM,STO-T1A-STKX-HRT02,P1/1/41,STO-T1A-RT04,GI0/0/0,right_only
859,STOCKHOLM,STO-T1A-STKX-HRT02,P1/1/41,STO-T1A-RT04,GI0/0/0,right_only
860,STOCKHOLM,STO-T1A-STKX-HRT02,P2/1/43,STO-T1A-RT04,GI1/0/1,right_only
861,STOCKHOLM,STO-T1A-STKX-HRT02,P2/1/43,STO-T1A-RT04,GI1/0/1,right_only
862,STOCKHOLM,STO-T1A-STKX-HRT02,P2/1/41,STO-T1A-STKX-HRT01,P1/7/5,right_only
863,STOCKHOLM,STO-T1A-STKX-HRT02,P2/1/41,STO-T1A-STKX-HRT01,P1/7/5,right_only
864,STOCKHOLM,STO-T1A-STKX-HRT02,P1/1/13,FFT-T1A-FNMX-HCR02,P1/1/6,right_only
865,STOCKHOLM,STO-T1A-STKX-HRT02,P1/1/13,FFT-T1A-FNMX-HCR02,P1/1/6,right_only
866,MUNICH,MUN-T1A-MU1X-HRT01,P1/1/13,FFT-T1A-FNMX-HCR02,P1/2/4,right_only
867,MUNICH,MUN-T1A-MU1X-HRT01,P1/1/13,FFT-T1A-FNMX-HCR02,P1/2/4,right_only
868,MUNICH,MUN-T1A-MU1X-HRT01,P5/1/13,FFT2-T1A-FEQ-RT02,TE4/1,right_only
869,MUNICH,MUN-T1A-MU1X-HRT01,P5/1/13,FFT2-T1A-FEQ-RT02,TE4/1,right_only
870,MOROCCO,MOR-T1A-52WX-HRT01,P2/1/25,MA-T1A-WV6X-HRT01,P1/1/9,right_only
871,MOROCCO,MOR-T1A-52WX-HRT01,P2/1/25,MA-T1A-WV6X-HRT01,P1/1/9,right_only
872,MOROCCO,MOR-T1A-52WX-HRT01,P1/1/23,MOR-T1A-52WX-HRT02,P1/1/23,right_only
873,MOROCCO,MOR-T1A-52WX-HRT01,P1/1/23,MOR-T1A-52WX-HRT02,P1/1/23,right_only
